User1,User2,Action
JulioZ32,JulioZ32,Tweet
JulioZ32,The_Trump_Train,Retweet
scottlawyer,scottlawyer,Tweet
noreallyhowcome,noreallyhowcome,Tweet
noreallyhowcome,scottlawyer,Retweet
Coculo,Coculo,Tweet
gia_cristina,gia_cristina,Tweet
gia_cristina,Coculo,Retweet
Honey17011,Honey17011,Tweet
AnnTruwe,AnnTruwe,Tweet
AnnTruwe,Honey17011,Retweet
AnnTruwe,SpeakerRyan,Mention
AnnTruwe,SenateMajLdr,Mention
DamienFahey,DamienFahey,Tweet
ctonies,ctonies,Tweet
ctonies,DamienFahey,Retweet
ctonies,Adele,Mention
sahouraxo,sahouraxo,Tweet
MeyerJmeyer5413,MeyerJmeyer5413,Tweet
MeyerJmeyer5413,sahouraxo,Retweet
Impeach_D_Trump,Impeach_D_Trump,Tweet
RetiredMITeach,RetiredMITeach,Tweet
RetiredMITeach,Impeach_D_Trump,Retweet
RetiredMITeach,realDonaldTrump,Mention
ezlusztig,ezlusztig,Tweet
Turpster59,Turpster59,Tweet
Turpster59,ezlusztig,Retweet
Breznican,Breznican,Tweet
aricaversa,aricaversa,Tweet
aricaversa,Breznican,Retweet
umakatyperry,umakatyperry,Tweet
tmj_4ever,tmj_4ever,Tweet
tmj_4ever,umakatyperry,Retweet
goldengateblond,goldengateblond,Tweet
crisunbreakable,crisunbreakable,Tweet
crisunbreakable,goldengateblond,Retweet
TheDuran_com,TheDuran_com,Tweet
DavidWeingust,DavidWeingust,Tweet
DavidWeingust,TheDuran_com,Retweet
DaveWeasel,DaveWeasel,Tweet
sydneyedits,sydneyedits,Tweet
sydneyedits,DaveWeasel,Retweet
crochettie,crochettie,Tweet
2j5,2j5,Tweet
2j5,crochettie,Retweet
Breznican,Breznican,Tweet
friend_robbie,friend_robbie,Tweet
friend_robbie,Breznican,Retweet
iaccelerateCEO,iaccelerateCEO,Tweet
timheasley,timheasley,Tweet
timheasley,iaccelerateCEO,Retweet
timheasley,SkollFoundation,Mention
thehill,thehill,Tweet
tkotrla,tkotrla,Tweet
tkotrla,thehill,Retweet
taniacsintjago,taniacsintjago,Tweet
KaivanShroff,KaivanShroff,Tweet
LostHussein,LostHussein,Tweet
LostHussein,KaivanShroff,Retweet
thehill,thehill,Tweet
ashleychan83,ashleychan83,Tweet
ashleychan83,thehill,Retweet
markberman,markberman,Tweet
markberman,markberman,Reply
Rawkuz99,Rawkuz99,Tweet
Rawkuz99,markberman,Retweet
Rawkuz99,seanspicer,Mention
ericuman,ericuman,Tweet
Bogi573,Bogi573,Tweet
Bogi573,ericuman,Retweet
matthewjdowd,matthewjdowd,Tweet
bornabrit,bornabrit,Tweet
bornabrit,matthewjdowd,Retweet
kylegriffin1,kylegriffin1,Tweet
kylegriffin1,kylegriffin1,Reply
luizhsrodrigues,luizhsrodrigues,Tweet
luizhsrodrigues,kylegriffin1,Retweet
NPR,NPR,Tweet
von1008,von1008,Tweet
von1008,NPR,Retweet
PrisonPlanet,PrisonPlanet,Tweet
Jmk06141990,Jmk06141990,Tweet
Jmk06141990,PrisonPlanet,Retweet
Jmk06141990,Channel4News,Mention
RVAwonk,RVAwonk,Tweet
CindibiseniusOr,CindibiseniusOr,Tweet
CindibiseniusOr,RVAwonk,Retweet
kinni00,kinni00,Tweet
maddhousewife,maddhousewife,Tweet
maddhousewife,kinni00,Retweet
Juan_Abbe,Juan_Abbe,Tweet
wally_polischuk,wally_polischuk,Tweet
wally_polischuk,Juan_Abbe,Retweet
jabquickbooks,jabquickbooks,Tweet
jabquickbooks,Impeach_D_Trump,Reply
jabquickbooks,realDonaldTrump,Mention
JeffDSachs,JeffDSachs,Tweet
joetrader6,joetrader6,Tweet
joetrader6,JeffDSachs,Retweet
DamienFahey,DamienFahey,Tweet
IanBatt2,IanBatt2,Tweet
IanBatt2,DamienFahey,Retweet
IanBatt2,Adele,Mention
lylasbitch,lylasbitch,Tweet
carlosmeurer,carlosmeurer,Tweet
carlosmeurer,lylasbitch,Retweet
vannsmole,vannsmole,Tweet
arcangel12741,arcangel12741,Tweet
arcangel12741,vannsmole,Retweet
LouDobbs,LouDobbs,Tweet
LaurGarTX,LaurGarTX,Tweet
LaurGarTX,LouDobbs,Retweet
LaurGarTX,nypost,Mention
LaurGarTX,POTUS,Mention
KeithOlbermann,KeithOlbermann,Tweet
egg509,egg509,Tweet
egg509,KeithOlbermann,Retweet
egg509,realDonaldTrump,Mention
theClaudiaInez,theClaudiaInez,Tweet
annepearl1,annepearl1,Tweet
annepearl1,theClaudiaInez,Retweet
The_Trump_Train,The_Trump_Train,Tweet
420_231,420_231,Tweet
420_231,The_Trump_Train,Retweet
tariqnasheed,tariqnasheed,Tweet
OMEGARED2,OMEGARED2,Tweet
OMEGARED2,tariqnasheed,Retweet
erikaraskin,erikaraskin,Tweet
apeirophobic,apeirophobic,Tweet
apeirophobic,erikaraskin,Retweet
HuffPostPol,HuffPostPol,Tweet
earthflrstpest,earthflrstpest,Tweet
earthflrstpest,HuffPostPol,Retweet
earthflrstpest,christinawilkie,Mention
proudmom111,proudmom111,Tweet
lightbird_aka,lightbird_aka,Tweet
lightbird_aka,proudmom111,Retweet
superdeluxe,superdeluxe,Tweet
JustDrox,JustDrox,Tweet
JustDrox,superdeluxe,Retweet
PaulWermer,PaulWermer,Tweet
reesebeatz,reesebeatz,Tweet
ArtGrand4,ArtGrand4,Tweet
Sarkoziste,Sarkoziste,Tweet
Sarkoziste,aqalmash,Reply
Sarkoziste,Sarkoziste,Tweet
Sarkoziste,Sarkoziste,Retweet
Sarkoziste,aqalmash,Mention
Sarkoziste,bibbiblos22,Mention
Sarkoziste,NPOMMERET,Mention
Sarkoziste,BerjulePOMME,Mention
20committee,20committee,Tweet
MichaelSalfino,MichaelSalfino,Tweet
MichaelSalfino,20committee,Retweet
McJesse,McJesse,Tweet
Jaydee527,Jaydee527,Tweet
Jaydee527,McJesse,Retweet
SavageNation,SavageNation,Tweet
TucciAria,TucciAria,Tweet
TucciAria,SavageNation,Retweet
UpsetALiberal,UpsetALiberal,Tweet
Elelmorte,Elelmorte,Tweet
Elelmorte,UpsetALiberal,Retweet
Elelmorte,NancyPelosi,Mention
katie_sado,katie_sado,Tweet
katie_sado,MSNBC,Reply
katie_sado,NBCNews,Mention
dav_mcg,dav_mcg,Tweet
MmcginnisM,MmcginnisM,Tweet
MmcginnisM,dav_mcg,Retweet
Mkts2day,Mkts2day,Tweet
Mkts2day,OversightDems,Reply
jet220xx,jet220xx,Tweet
jet220xx,Mkts2day,Retweet
jet220xx,OversightDems,Mention
jet220xx,Stephynb,Mention
jet220xx,RepCummings,Mention
Amy_Siskind,Amy_Siskind,Tweet
Aquasun,Aquasun,Tweet
Aquasun,Amy_Siskind,Retweet
lizzydebbie,lizzydebbie,Tweet
lizzydebbie,YouTube,Mention
The_Last_NewsPa,The_Last_NewsPa,Tweet
roqchrisy,roqchrisy,Tweet
roqchrisy,The_Last_NewsPa,Retweet
The_Last_NewsPa,The_Last_NewsPa,Tweet
roqchrisy,roqchrisy,Tweet
roqchrisy,The_Last_NewsPa,Retweet
brianklaas,brianklaas,Tweet
tayknighting,tayknighting,Tweet
tayknighting,brianklaas,Retweet
Sapphireb2016,Sapphireb2016,Tweet
washingtonpost,washingtonpost,Tweet
jcmarbury,jcmarbury,Tweet
jcmarbury,washingtonpost,Retweet
BrennanCenter,BrennanCenter,Tweet
LundeenOttawa,LundeenOttawa,Tweet
LundeenOttawa,BrennanCenter,Retweet
CNNEE,CNNEE,Tweet
rgomezj90,rgomezj90,Tweet
rgomezj90,CNNEE,Retweet
CherylRofer,CherylRofer,Tweet
CherylRofer,CherylRofer,Reply
jacksonprah,jacksonprah,Tweet
jacksonprah,CherylRofer,Retweet
insideclimate,insideclimate,Tweet
KathyStricker2,KathyStricker2,Tweet
KathyStricker2,insideclimate,Retweet
forte2x,forte2x,Tweet
forte2x,ericuman,Reply
forte2x,joshtpm,Mention
