Word,Frequency,Topic
aminimarvel,1.000059522,
puppies,1.000059522,
product,1.000059522,
problem,1.000059522,
jason_m_heller,1.000059522,
psychological,1.000059522,
mad_eye_maddi,1.000059522,
nnaannddaannii,1.000029761,
multi-language,1.000029761,
alexbutovsky,1.000029761,
dog,1.000029761,
cryingofangry,1.000029761,
buycoke,1.000029761,
//t.co/bnopl0zjcy,1.000029761,
cosmic_trash13,1.000029761,
dorito…,,
/…,,
tweet,1.000029761,
poetdiva1,1.000029761,
do…,,
fellow,1.000029761,
traceyblacke,1.000029761,
--,1.000029761,
celebrating…,,
themaddierose1,1.000029761,
afrodite_xo,1.000029761,
el_panadero_,1.000029761,
hehe,1.000029761,
smh,1.000029761,
g_mf_spot,1.000029761,
senoritapnhs,1.000029761,
eat,1.000029761,
awomanintexas,1.000029761,
hella,1.000029761,
ryankilde,1.000029761,
uh,1.000029761,
g…,,
georgianaart,1.000029761,
wasted,1.000029761,
donaldtrump,1.000029761,
👇👇👇👇,,
polar,1.000029761,
ar…,,
//t.co/3pdqqthzor,1.000029761,
tori_pelt,1.000029761,
ironkrokus,1.000029761,
//t.co/5aj9ci8mw2,1.000029761,
girlfriend,1.000029761,
happens,1.000029761,
born,1.000029761,
jenbshaw,1.000029761,
mac,1.000029761,
immigrant,1.000029761,
grab,1.000029761,
😭,,
married,1.000029761,
blow,1.000029761,
inclusive,1.000029761,
faithtvc15,1.000029761,
brittnee0529,1.000029761,
bear,1.000029761,
penny110808,1.000029761,
wdwise,1.000029761,
sinc…,,
advertisement,1.000029761,
dmitchinson,1.000029761,
mciszek,1.000029761,
#NAME?,1.000029761,
i'm-,1.000029761,
tea…,,
it..,1.000029761,
leahfigueroa24,1.000029761,
london_lady,1.000029761,
anti-trump,1.000029761,
federalspyguy,1.000029761,
incoming,1.000029761,
bangs,1.000029761,
mckra1g,1.000029761,
johniewaters,1.000029761,
emotional,1.000029761,
toddtherodd33,1.000029761,
write,1.000029761,
lumbe…,,
raymondtree,1.000029761,
idea,1.000029761,
kept,1.000029761,
zephyrbock,1.000029761,
pepsi…,,
wanting,1.000029761,
urge,1.000029761,
l…,,
caffeineguru,1.000029761,
tonight’s,,
baileigh_krause,1.000029761,
//t.co/jpdyuk5qnl,1.000029761,
castleaddict,1.000029761,
horrendously,1.000029761,
nerdspwn,1.000029761,
libtards,1.000029761,
candissnicole,1.000029761,
..…,,
thats,1.000029761,
anticipating,1.000029761,
block,1,
prob,1,
..,1,
funny,1,
//t.co/qcxml0ka31,1,
terrorists,1,
togetherness,1,
ltapoll,1,
laughing,1,
everywhere,1,
kissing,1,
30,1,
voters,1,
refuses,1,
relating,1,
//t.co/gofik8pxrd,1,
barney,1,
//t.co/seacmy2ye8,1,
epic,1,
um,1,
anymore,1,
*sips,1,
//t.co/ddntitfkqf,1,
goon_boy,1,
bit,1,
person,1,
narcissist,1,
larry,1,
culturally,1,
ludicrous,1,
prof,1,
collapses,1,
complains,1,
ericgoughnour,1,
march,1,
recognizes…football,,
𝓑𝓸𝔀𝓵,,
hates,1,
bigchumdiesel,1,
//t.co/vlbyhkh1qd,1,
bored,1,
loving,1,
bogus,1,
question,1,
americathebeautiful,1,
🇺🇸,,
called,1,
//t.co/5hiw6wgcxp,1,
landscapes,1,
𝓦𝓪𝓽𝓬𝓱🌐,,
patriotic,1,
moment,1,
politi…,,
google,1,
moving,1,
occupydemocrats,1,
greg241218661,1,
//t.co/mnnxgpuuap,1,
cause,1,
nice,1,
vscrt001,1,
hindi,1,
certain,1,
𝓣𝓱𝓮,,
pewpewmcgoo,1,
crappy,1,
..like,1,
hateful,1,
bull,1,
present,1,
//t.co/anijraafvh,1,
🌎✌🏼,,
vp,1,
smiles,1,
foreign,1,
//t.co/3pmjfnp5xp,1,
//t.co/va1xf0itod,1,
administration,1,
largest,1,
paula,1,
peddling,1,
rebelscumtr8r,1,
onenation,1,
pedal,1,
yahoonews,1,
🙄,,
nethingbutwork,1,
losttokens,1,
//t.co/vvrbmmcw2o,1,
bring,1,
b-|,1,
trying,1,
wins.commercial,1,
steele131,1,
dope,1,
scrolling,1,
misguided,1,
calling,1,
wish,1,
//t.co/k2s4fv0cau,1,
dollemore,1,
state,1,
hajib,1,
//t.co/akkq9zyymn,1,
rickycpasg,1,
//t.co/evv0l8rcnb,1,
precious,1,
peyton_75,1,
hits,1,
commenting,1,
sniff,1,
first-look,1,
fighting,1,
//t.co/u5ukvgjysy,1,
cried,1,
//t.co/qy6vrwg4pp,1,
akgaymes,1,
1988,1,
delivery,1,
//t.co/tb4dvdpgps,1,
anti-immigrant,1,
bitched,1,
wise,1,
//t.co/sbh2gsexuc,1,
protesting,1,
record,1,
cokead,1,
girl,1,
incredible,1,
book,1,
wing,1,
//t.co/ejdv4zot80,1,
oppression,1,
//t.co/xlqi2zcifg,1,
stay,1,
friends,1,
mondaymorning,1,
ranks,1,
superbowlcommercials,1,
pc,1,
female,1,
ksays2,1,
brush,1,
//t.co/njda8sgcto,1,
only1,1,
dceu,1,
//t.co/j0srcytkhg,1,
commercial/wedding,1,
'14,1,
soft,1,
t_i_t_a_n_i_um,1,
belonged,1,
searching,1,
alive,1,
ctheavenger5765,1,
home,1,
wellesley,1,
flummoxed,1,
//t.co/msp8b9qrnl,1,
footag…,,
although,1,
vs.,1,
fucktrump,1,
important,1,
alliance,1,
//t.co/wieuvy5dle,1,
polypatriot,1,
e…https,,
wounded,1,
offends,1,
standing,1,
crap,1,
okaaaay,1,
nation.😒,,
//t.co/xccxdrxnq1,1,
women,1,
customer,1,
//t.co/qecarhzrj6,1,
usatodaysports,1,
high,1,
a-holes…,,
humerous,1,
//t.co/ycx5xbjeqj,1,
bilingual,1,
stock,1,
//t.co/dt1njnlo3e,1,
realgreek4trump,1,
agenda,1,
